processes,serial_overall_s,serial_computation_s,serial_residual_s,communication_blocking_s,reference_s,rp,rs,x,predicted_overall_s,class_speedup
1,12.928922,12.485802,0.4431200000000004,0.0,12.928922,0.9657264542241031,0.03427354577589692,0.0,12.928922,1.0
2,12.928922,12.485802,0.4431200000000004,0.010483,12.939405,0.9649440604108148,0.03424577868920562,0.0008101608999795584,6.696504,1.9322627149927782
4,12.928922,12.485802,0.4431200000000004,0.007372,12.936294,0.9651761161272309,0.03425401432589582,0.0005698695468733162,3.5719425000000005,3.6216411658362357
8,12.928922,12.485802,0.4431200000000004,0.008905,12.937827,0.965061752642078,0.034249955576002154,0.0006882917819197922,2.0127502500000003,6.427934613348077
16,12.928922,12.485802,0.4431200000000004,0.019889,12.948811,0.9642431262607818,0.03422090259870191,0.0015359711405162992,1.2433716250000004,10.41427256312046
