implementation,source,overall,compute,communication,count,ranks
hybrid,finish_hybrid_100000000_p4_134610\hybrid_p4_t1_run_3.txt,4.485656,3.518915,0.371243,5761455,"[3.518915, 3.505585, 3.145823, 3.345598]"
hybrid,finish_hybrid_100000000_p4_134610\hybrid_p4_t2_run_1.txt,2.46106,1.581989,0.015467,5761455,"[1.57038, 1.570793, 1.570159, 1.581989]"
hybrid,finish_hybrid_100000000_p4_134610\hybrid_p4_t2_run_2.txt,2.892059,1.829359,0.125037,5761455,"[1.708932, 1.824449, 1.829359, 1.826159]"
hybrid,finish_hybrid_100000000_p4_134610\hybrid_p4_t2_run_3.txt,2.480568,1.570183,0.005979,5761455,"[1.568694, 1.569769, 1.569426, 1.570183]"
hybrid,finish_hybrid_100000000_p4_134610\hybrid_p4_t4_run_1.txt,2.363023,1.281618,0.11979,5761455,"[1.20748, 1.227119, 1.162424, 1.281618]"
hybrid,finish_hybrid_100000000_p4_134610\hybrid_p4_t4_run_2.txt,1.878864,1.006615,0.135128,5761455,"[0.993612, 1.006615, 0.875912, 0.894499]"
hybrid,finish_hybrid_100000000_p4_134610\hybrid_p4_t4_run_3.txt,1.653041,0.787961,0.008591,5761455,"[0.787961, 0.785464, 0.785141, 0.784184]"
serial,finish_hybrid_100000000_p8_134611\serial_run_1.txt,12.935266,12.481081,,5761455,[]
serial,finish_hybrid_100000000_p8_134611\serial_run_2.txt,12.974443,12.483937,,5761455,[]
serial,finish_hybrid_100000000_p8_134611\serial_run_3.txt,13.082554,12.485512,,5761455,[]
mpi,finish_hybrid_100000000_p8_134611\mpi_run_1.txt,2.477154,1.563193,0.008147,5761455,"[1.562177, 1.561757, 1.561599, 1.561778, 1.563193, 1.561912, 1.561519, 1.561507]"
mpi,finish_hybrid_100000000_p8_134611\mpi_run_2.txt,2.450576,1.564041,0.008892,5761455,"[1.562437, 1.561447, 1.561597, 1.561961, 1.561764, 1.564041, 1.562319, 1.561566]"
mpi,finish_hybrid_100000000_p8_134611\mpi_run_3.txt,2.417178,1.562971,0.00875,5761455,"[1.562284, 1.561949, 1.562091, 1.562066, 1.562518, 1.562971, 1.562351, 1.561508]"
hybrid,finish_hybrid_100000000_p8_134611\hybrid_p8_t1_run_1.txt,2.530372,1.565994,0.008673,5761455,"[1.565105, 1.564541, 1.565099, 1.565994, 1.564409, 1.565075, 1.564486, 1.563863]"
hybrid,finish_hybrid_100000000_p8_134611\hybrid_p8_t1_run_2.txt,2.463892,1.566196,0.007912,5761455,"[1.564284, 1.564095, 1.565574, 1.566196, 1.564337, 1.564901, 1.56468, 1.565037]"
hybrid,finish_hybrid_100000000_p8_134611\hybrid_p8_t1_run_3.txt,2.520212,1.566481,0.009508,5761455,"[1.564369, 1.563604, 1.565293, 1.566481, 1.565742, 1.564356, 1.564826, 1.564742]"
hybrid,finish_hybrid_100000000_p8_134611\hybrid_p8_t2_run_1.txt,1.681159,0.788944,0.008483,5761455,"[0.786751, 0.787862, 0.78744, 0.78754, 0.786836, 0.787692, 0.78732, 0.788944]"
hybrid,finish_hybrid_100000000_p8_134611\hybrid_p8_t2_run_2.txt,1.873428,0.792355,0.015718,5761455,"[0.787425, 0.786752, 0.787409, 0.787836, 0.792355, 0.787487, 0.787894, 0.783236]"
hybrid,finish_hybrid_100000000_p8_134611\hybrid_p8_t2_run_3.txt,1.758899,0.788784,0.012414,5761455,"[0.787573, 0.783178, 0.784438, 0.788784, 0.782784, 0.783235, 0.783244, 0.78652]"
serial,finish_hybrid_100000000_p16_134612\serial_run_1.txt,13.016247,12.483609,,5761455,[]
serial,finish_hybrid_100000000_p16_134612\serial_run_2.txt,12.950093,12.485325,,5761455,[]
serial,finish_hybrid_100000000_p16_134612\serial_run_3.txt,12.975328,12.497747,,5761455,[]
mpi,finish_hybrid_100000000_p16_134612\mpi_run_1.txt,1.70007,0.781744,0.018989,5761455,"[0.780927, 0.781674, 0.781214, 0.781132, 0.780901, 0.781744, 0.780979, 0.780809, 0.781407, 0.780973, 0.781533, 0.781579, 0.781329, 0.781376, 0.781329, 0.781217]"
mpi,finish_hybrid_100000000_p16_134612\mpi_run_2.txt,1.750719,0.785499,0.02376,5761455,"[0.785499, 0.781961, 0.781797, 0.781557, 0.781122, 0.781932, 0.781881, 0.781692, 0.781637, 0.781325, 0.781771, 0.781736, 0.781839, 0.78108, 0.781547, 0.7817]"
mpi,finish_hybrid_100000000_p16_134612\mpi_run_3.txt,2.191282,1.287904,0.520877,5761455,"[0.789686, 0.784656, 1.282829, 0.785386, 0.787395, 0.790139, 0.789915, 1.284102, 1.287904, 0.79004, 1.279659, 0.787707, 0.787425, 0.790618, 0.784143, 0.787036]"
hybrid,finish_hybrid_100000000_p16_134612\hybrid_p16_t1_run_1.txt,1.752819,0.78295,0.01286,5761455,"[0.782745, 0.782456, 0.782507, 0.782476, 0.781984, 0.782733, 0.782892, 0.78187, 0.782592, 0.782559, 0.782828, 0.78295, 0.782777, 0.782453, 0.782739, 0.782882]"
hybrid,finish_hybrid_100000000_p16_134612\hybrid_p16_t1_run_2.txt,1.804293,0.787111,0.019515,5761455,"[0.782473, 0.786893, 0.782386, 0.78597, 0.782474, 0.78292, 0.782489, 0.782423, 0.782849, 0.782431, 0.786563, 0.787111, 0.782519, 0.782356, 0.7825, 0.786565]"
hybrid,finish_hybrid_100000000_p16_134612\hybrid_p16_t1_run_3.txt,1.83728,0.78557,0.017723,5761455,"[0.784407, 0.784751, 0.784597, 0.784178, 0.783237, 0.784712, 0.785114, 0.784097, 0.784612, 0.78423, 0.784292, 0.78557, 0.784186, 0.784122, 0.784464, 0.784547]"
