n,implementation,workers,serial_overall_s,serial_computation_s,communication_blocking_s,empirical,model,predicted_overall_s,rp,rs,x
100000000,mpi,4,12.948174,12.493223,0.008727,3.2570441941351356,3.6097665622265507,3.5869837499999995,0.964213819338436,0.03511263997463588,0.0006735406869281474
100000000,hybrid,16,12.948174,12.493223,0.016388,7.788839154933136,10.340625617212027,1.2521654374999995,0.9636440475196927,0.035091891264818514,0.0012640612154888073
101000000,mpi,4,13.131403,12.666805,0.012647,3.2171099132012118,3.6036214859096782,3.6439462500000004,0.9636911758552349,0.035346639734328444,0.0009621844104366615
101000000,hybrid,16,13.131403,12.666805,0.015226,7.222477490608482,10.327495163313348,1.2714993125000005,0.9635021266668435,0.03533970571467419,0.001158167618482274
102000000,mpi,4,13.310265,12.826169,0.009665,3.2425869628186708,3.597074104669665,3.7003032499999993,0.9629306610470175,0.03634373453914547,0.0007256044138370097
102000000,hybrid,16,13.310265,12.826169,0.011678,7.863333727181425,10.259108137257934,1.2974095624999993,0.9627851582910992,0.03633824285241264,0.0008765988564881264
103000000,mpi,4,13.517986,13.012725,0.014109,3.250830263582535,3.5832478087607154,3.7725512500000007,0.9616193944840027,0.03733797316675649,0.0010426323492408235
103000000,hybrid,16,13.517986,13.012725,0.017347,7.49859019923594,10.118985313916566,1.3359033125000008,0.9613893503765292,0.03732904096264217,0.0012816086608286622
104000000,mpi,4,13.716794,13.194294,0.014295,3.2386432107650087,3.5763953320261135,3.835368500000001,0.9609065967018346,0.03805233510612319,0.0010410681920421606
104000000,hybrid,16,13.716794,13.194294,0.012668,7.568667222494128,10.087276994575806,1.3598113750000007,0.9610204682455874,0.03805684447067199,0.0009226872837406157
105000000,mpi,4,14.212891,13.704315,0.015537,3.3857403329499647,3.5980255895172673,3.9501917500000014,0.9631643776810761,0.03574365348020187,0.001091968838722029
105000000,hybrid,16,14.212891,13.704315,0.010078,7.863156351485176,10.335342458332184,1.3751736875000016,0.9635340553719831,0.0357573724585915,0.000708572169425385
106000000,mpi,4,14.038396,13.540677,0.012647,3.235917253397352,3.603714277774794,3.89553525,0.9636777141739585,0.03542221029428201,0.0009000755317594573
106000000,hybrid,16,14.038396,13.540677,0.031214,7.715023702777176,10.208069814014566,1.3752253125000002,0.9624059941960011,0.03537546527586766,0.0022185405281311987
107000000,mpi,4,14.208026,13.708771,0.01378,3.2801796523034406,3.605889532654553,3.94022775,0.9639261708393434,0.035104894554179755,0.0009689346064768427
107000000,hybrid,16,14.208026,13.708771,0.111197,7.2881966619422744,9.68343784927954,1.4672501874999997,0.9573683572076501,0.03486606780270135,0.007765574989648531
108000000,mpi,4,14.421355,13.884578,0.016261,3.2672931637521314,3.583673205675935,4.0241825,0.9616946454317665,0.03717906058728814,0.0011262939809453306
108000000,hybrid,16,14.421355,13.884578,0.010134,7.565614522516605,10.19395229208513,1.4146971250000007,0.9621029403133661,0.03719484524431269,0.0007022144423212324
109000000,mpi,4,14.880509,14.372117,0.021843,3.2305404587471056,3.608914708777154,4.12326425,0.9644193748745163,0.034114883341904795,0.0014657417835788607
109000000,hybrid,16,14.880509,14.372117,0.019385,7.360215832924859,10.434888466261919,1.4260343125000006,0.9645784728401423,0.03412051119289846,0.001301015966959228
