processes,rp,rs,x,communication_blocking_s,predicted_overall_s,class_speedup,model_week4_baseline,empirical_week4_baseline
1,0.9657264542241031,0.03427354577589692,0.0,0.0,12.928922,1.0,1.0,0.9765654599651821
2,0.9649440604108148,0.03424577868920562,0.0008101608999795584,0.010483,6.696504,1.9322627149927782,1.930697271292603,1.8437125798883955
4,0.9651761161272309,0.03425401432589582,0.0005698695468733162,0.007372,3.5719425000000005,3.6216411658362357,3.619577302826123,3.296339355964475
8,0.965061752642078,0.034249955576002154,0.0006882917819197922,0.008905,2.0127502500000003,6.427934613348077,6.423510318778993,5.19872694958463
16,0.9642431262607818,0.03422090259870191,0.0015359711405162992,0.019889,1.2433716250000004,10.41427256312046,10.398276541014031,7.709305723011901
