n,implementation,repeat,overall_s,computation_s,prime_count,sha256,source
102000000,hybrid,3,1.688305,0.81617,5869979,62513fcbd4186523b5e3d8461086be58b4b19ca936f2b2f7ac1d35e44c6f57bf,dataset_102000000_130916\hybrid_run_3.txt
103000000,serial,1,13.540713,13.007357,5924283,10de4711abc7120e0dad4e5e791e19b63b38067431ffa06a2c4dde41cfb2a74c,dataset_103000000_130917\serial_run_1.txt
103000000,openmp,1,3.945996,3.340665,5924283,10de4711abc7120e0dad4e5e791e19b63b38067431ffa06a2c4dde41cfb2a74c,dataset_103000000_130917\openmp_run_1.txt
103000000,mpi,1,4.186033,3.260202,5924283,10de4711abc7120e0dad4e5e791e19b63b38067431ffa06a2c4dde41cfb2a74c,dataset_103000000_130917\mpi_run_1.txt
103000000,hybrid,1,1.817695,0.823826,5924283,10de4711abc7120e0dad4e5e791e19b63b38067431ffa06a2c4dde41cfb2a74c,dataset_103000000_130917\hybrid_run_1.txt
103000000,serial,2,13.511774,13.012725,5924283,10de4711abc7120e0dad4e5e791e19b63b38067431ffa06a2c4dde41cfb2a74c,dataset_103000000_130917\serial_run_2.txt
103000000,openmp,2,3.863931,3.341127,5924283,10de4711abc7120e0dad4e5e791e19b63b38067431ffa06a2c4dde41cfb2a74c,dataset_103000000_130917\openmp_run_2.txt
103000000,mpi,2,4.143571,3.261925,5924283,10de4711abc7120e0dad4e5e791e19b63b38067431ffa06a2c4dde41cfb2a74c,dataset_103000000_130917\mpi_run_2.txt
103000000,hybrid,2,1.791832,0.886466,5924283,10de4711abc7120e0dad4e5e791e19b63b38067431ffa06a2c4dde41cfb2a74c,dataset_103000000_130917\hybrid_run_2.txt
103000000,serial,3,13.517986,13.019506,5924283,10de4711abc7120e0dad4e5e791e19b63b38067431ffa06a2c4dde41cfb2a74c,dataset_103000000_130917\serial_run_3.txt
103000000,openmp,3,3.910144,3.347651,5924283,10de4711abc7120e0dad4e5e791e19b63b38067431ffa06a2c4dde41cfb2a74c,dataset_103000000_130917\openmp_run_3.txt
103000000,mpi,3,4.158318,3.262182,5924283,10de4711abc7120e0dad4e5e791e19b63b38067431ffa06a2c4dde41cfb2a74c,dataset_103000000_130917\mpi_run_3.txt
103000000,hybrid,3,1.802737,0.829819,5924283,10de4711abc7120e0dad4e5e791e19b63b38067431ffa06a2c4dde41cfb2a74c,dataset_103000000_130917\hybrid_run_3.txt
104000000,serial,1,13.727521,13.231771,5978489,55b44eb62952856a98b2053fbb65718891b2d992c7f81ca10e22881020a66818,dataset_104000000_130918\serial_run_1.txt
104000000,openmp,1,3.944943,3.387955,5978489,55b44eb62952856a98b2053fbb65718891b2d992c7f81ca10e22881020a66818,dataset_104000000_130918\openmp_run_1.txt
104000000,mpi,1,4.235352,3.303035,5978489,55b44eb62952856a98b2053fbb65718891b2d992c7f81ca10e22881020a66818,dataset_104000000_130918\mpi_run_1.txt
104000000,hybrid,1,1.789961,0.832516,5978489,55b44eb62952856a98b2053fbb65718891b2d992c7f81ca10e22881020a66818,dataset_104000000_130918\hybrid_run_1.txt
104000000,serial,2,13.694078,13.194294,5978489,55b44eb62952856a98b2053fbb65718891b2d992c7f81ca10e22881020a66818,dataset_104000000_130918\serial_run_2.txt
104000000,openmp,2,3.900598,3.388486,5978489,55b44eb62952856a98b2053fbb65718891b2d992c7f81ca10e22881020a66818,dataset_104000000_130918\openmp_run_2.txt
104000000,mpi,2,4.176763,3.30639,5978489,55b44eb62952856a98b2053fbb65718891b2d992c7f81ca10e22881020a66818,dataset_104000000_130918\mpi_run_2.txt
104000000,hybrid,2,1.812313,0.86298,5978489,55b44eb62952856a98b2053fbb65718891b2d992c7f81ca10e22881020a66818,dataset_104000000_130918\hybrid_run_2.txt
104000000,serial,3,13.716794,13.1845,5978489,55b44eb62952856a98b2053fbb65718891b2d992c7f81ca10e22881020a66818,dataset_104000000_130918\serial_run_3.txt
104000000,openmp,3,4.043282,3.47288,5978489,55b44eb62952856a98b2053fbb65718891b2d992c7f81ca10e22881020a66818,dataset_104000000_130918\openmp_run_3.txt
104000000,mpi,3,4.499636,3.593756,5978489,55b44eb62952856a98b2053fbb65718891b2d992c7f81ca10e22881020a66818,dataset_104000000_130918\mpi_run_3.txt
104000000,hybrid,3,1.965449,0.839603,5978489,55b44eb62952856a98b2053fbb65718891b2d992c7f81ca10e22881020a66818,dataset_104000000_130918\hybrid_run_3.txt
105000000,serial,1,14.40187,13.959146,6032696,f930994a7c8dede85f6340a727e3906c63c2853084a679f98986076294a49a4a,dataset_105000000_130919\serial_run_1.txt
